Week,Team 1,Team 2
1,ATL,CAR
1,BAL,HOU
1,CHI,GB
1,CLE,CIN
1,DEN,LV
1,IND,JAX
1,KC,DET
1,LAC,MIA
1,MIN,TB
1,NE,PHI
1,NO,TEN
1,NYG,DAL
1,NYJ,BUF
1,PIT,SF
1,SEA,LAR
1,WAS,ARI
2,ARI,NYG
2,ATL,GB
2,BUF,LV
2,CAR,NO
2,CIN,BAL
2,DAL,NYJ
2,DEN,WAS
2,DET,SEA
2,HOU,IND
2,JAX,KC
2,LAR,SF
2,NE,MIA
2,PHI,MIN
2,PIT,CLE
2,TB,CHI
2,TEN,LAC
3,ARI,DAL
3,BAL,IND
3,CIN,LAR
3,CLE,TEN
3,DET,ATL
3,GB,NO
3,JAX,HOU
3,KC,CHI
3,LV,PIT
3,MIA,DEN
3,MIN,LAC
3,NYJ,NE
3,SEA,CAR
3,SF,NYG
3,TB,PHI
3,WAS,BUF
4,BUF,MIA
4,CAR,MIN
4,CHI,DEN
4,CLE,BAL
4,DAL,NE
4,GB,DET
4,HOU,PIT
4,IND,LAR
4,JAX,ATL
4,LAC,LV
4,NO,TB
4,NYG,SEA
4,NYJ,KC
4,PHI,WAS
4,SF,ARI
4,TEN,CIN
5,ARI,CIN
5,ATL,HOU
5,BUF,JAX
5,CLE,BYE
5,DEN,NYJ
5,DET,CAR
5,IND,TEN
5,LAC,BYE
5,LAR,PHI
5,LV,GB
5,MIA,NYG
5,MIN,KC
5,NE,NO
5,PIT,BAL
5,SEA,BYE
5,SF,DAL
5,TB,BYE
5,WAS,CHI
6,ATL,WAS
6,BUF,NYG
6,CHI,MIN
6,CIN,SEA
6,CLE,SF
6,GB,BYE
6,HOU,NO
6,JAX,IND
6,KC,DEN
6,LAC,DAL
6,LAR,ARI
6,LV,NE
6,MIA,CAR
6,NYJ,PHI
6,PIT,BYE
6,TB,DET
6,TEN,BAL
7,BAL,DET
7,CAR,BYE
7,CHI,LV
7,CIN,BYE
7,DAL,BYE
7,DEN,GB
7,HOU,BYE
7,IND,CLE
7,KC,LAC
7,LAR,PIT
7,MIN,SF
7,NE,BUF
7,NO,JAX
7,NYG,WAS
7,NYJ,BYE
7,PHI,MIA
7,SEA,ARI
7,TB,ATL
7,TEN,BYE
8,ARI,BAL
8,BUF,TB
8,CAR,HOU
8,DAL,LAR
8,DEN,KC
8,DET,LV
8,GB,MIN
8,IND,NO
8,LAC,CHI
8,MIA,NE
8,NYG,NYJ
8,PIT,JAX
8,SEA,CLE
8,SF,CIN
8,TEN,ATL
8,WAS,PHI
9,ATL,MIN
9,BAL,SEA
9,CAR,IND
9,CIN,BUF
9,CLE,ARI
9,DEN,BYE
9,DET,BYE
9,GB,LAR
9,HOU,TB
9,JAX,BYE
9,KC,MIA
9,LV,NYG
9,NE,WAS
9,NO,CHI
9,NYJ,LAC
9,PHI,DAL
9,PIT,TEN
9,SF,BYE
10,ARI,ATL
10,BAL,CLE
10,BUF,DEN
10,CHI,CAR
10,CIN,HOU
10,DAL,NYG
10,JAX,SF
10,KC,BYE
10,LAC,DET
10,LAR,BYE
10,LV,NYJ
10,MIA,BYE
10,MIN,NO
10,NE,IND
10,PHI,BYE
10,PIT,GB
10,SEA,WAS
10,TB,TEN
11,ATL,BYE
11,BAL,CIN
11,BUF,NYJ
11,CAR,DAL
11,CLE,PIT
11,DEN,MIN
11,DET,CHI
11,GB,LAC
11,HOU,ARI
11,IND,BYE
11,JAX,TEN
11,KC,PHI
11,LAR,SEA
11,MIA,LV
11,NE,BYE
11,NO,BYE
11,SF,TB
11,WAS,NYG
12,ARI,LAR
12,ATL,NO
12,CIN,PIT
12,DAL,WAS
12,DEN,CLE
12,DET,GB
12,HOU,JAX
12,IND,TB
12,LAC,BAL
12,LV,KC
12,MIN,CHI
12,NYG,NE
12,NYJ,MIA
12,PHI,BUF
12,SEA,SF
12,TEN,CAR
13,BAL,BYE
13,BUF,BYE
13,CHI,BYE
13,DAL,SEA
13,GB,KC
13,HOU,DEN
13,JAX,CIN
13,LAR,CLE
13,LV,BYE
13,MIN,BYE
13,NE,LAC
13,NO,DET
13,NYG,BYE
13,NYJ,ATL
13,PHI,SF
13,PIT,ARI
13,TB,CAR
13,TEN,IND
13,WAS,MIA
14,ARI,BYE
14,ATL,TB
14,BAL,LAR
14,CHI,DET
14,CIN,IND
14,CLE,JAX
14,DAL,PHI
14,KC,BUF
14,LAC,DEN
14,LV,MIN
14,MIA,TEN
14,NO,CAR
14,NYG,GB
14,NYJ,HOU
14,PIT,NE
14,SF,SEA
14,WAS,BYE
15,ARI,SF
15,BUF,DAL
15,CAR,ATL
15,CIN,MIN
15,CLE,CHI
15,DET,DEN
15,GB,TB
15,IND,PIT
15,JAX,BAL
15,LAR,WAS
15,LV,LAC
15,MIA,NYJ
15,NE,KC
15,NO,NYG
15,SEA,PHI
15,TEN,HOU
16,ATL,IND
16,CAR,GB
16,CHI,ARI
16,DEN,NE
16,HOU,CLE
16,KC,LV
16,LAC,BUF
16,LAR,NO
16,MIA,DAL
16,MIN,DET
16,NYJ,WAS
16,PHI,NYG
16,PIT,CIN
16,SF,BAL
16,TB,JAX
16,TEN,SEA
17,BAL,MIA
17,BUF,NE
17,CHI,ATL
17,CLE,NYJ
17,DAL,DET
17,DEN,LAC
17,HOU,TEN
17,IND,LV
17,JAX,CAR
17,KC,CIN
17,MIN,GB
17,NYG,LAR
17,PHI,ARI
17,SEA,PIT
17,TB,NO
17,WAS,SF
18,ARI,SEA
18,BAL,PIT
18,CAR,TB
18,CIN,CLE
18,DET,MIN
18,GB,CHI
18,IND,HOU
18,LAC,KC
18,LV,DEN
18,MIA,BUF
18,NE,NYJ
18,NO,ATL
18,NYG,PHI
18,SF,LAR
18,TEN,JAX
18,WAS,DAL
